cluster_id,size,member_idx,name,id,class,count,last_seen
1,10,1,feats_cam0.npz#2,2,0,48,1757998914.856
1,10,2,feats_cam0.npz#4,4,0,3,1757998914.947
1,10,3,feats_cam0.npz#5,5,0,10,1757998916.282
1,10,4,feats_cam0.npz#6,6,0,4,1757998916.427
1,10,7,feats_cam0.npz#9,9,0,8,1757998921.756
1,10,8,feats_cam0.npz#10,10,0,76,1757998925.177
1,10,9,feats_cam0.npz#12,12,0,16,1757998924.145
1,10,10,feats_cam0.npz#13,13,0,19,1757998925.837
1,10,11,feats_cam0.npz#14,14,0,47,1757998928.503
1,10,12,feats_cam0.npz#15,15,0,19,1757998927.275
2,2,0,feats_cam0.npz#1,1,0,133,1757998917.687
2,2,6,feats_cam0.npz#8,8,0,199,1757998928.503
3,1,5,feats_cam0.npz#7,7,0,49,1757998919.423
