epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.74322,1.37007,2.72539,1.3492,0.00476,1,0.39123,0.18462,1.10803,2.50579,1.13969,0,0,0
2,6.69535,1.29081,2.69675,1.28499,0.00475,1,0.46052,0.22921,1.08191,2.49776,1.12408,1.9802e-05,1.9802e-05,1.9802e-05
3,9.55097,1.16341,2.71207,1.3196,0.00476,1,0.43005,0.19931,1.01733,2.49744,1.0831,3.9208e-05,3.9208e-05,3.9208e-05
4,12.3037,1.45739,2.83696,1.4817,0.00481,1,0.27938,0.1875,0.92818,2.49046,1.02286,5.8218e-05,5.8218e-05,5.8218e-05
5,14.6435,1.11794,2.70672,1.20448,0.00472,1,0.33272,0.14751,0.87625,2.4821,0.99228,7.6832e-05,7.6832e-05,7.6832e-05
6,16.6887,0.95515,2.49068,1.18647,0.00471,1,0.36278,0.18181,0.80743,2.47826,0.95502,9.505e-05,9.505e-05,9.505e-05
7,19.0983,1.06134,2.57118,1.16262,0.00453,1,0.36034,0.23238,0.74794,2.47864,0.92385,0.000112872,0.000112872,0.000112872
8,21.9355,0.95749,2.44735,1.08207,0.00441,1,0.4995,0.28213,0.686,2.4666,0.9015,0.000130298,0.000130298,0.000130298
9,24.7538,0.95568,2.4184,1.02384,0.0043,1,0.47553,0.36014,0.6478,2.45774,0.88604,0.000147328,0.000147328,0.000147328
10,27.3241,0.99867,2.45703,1.06797,0.0042,1,0.68049,0.54843,0.62664,2.4525,0.87377,0.000163962,0.000163962,0.000163962
11,36.0071,1.03209,2.52553,1.1448,0.00411,1,0.71551,0.55552,0.61672,2.45047,0.86773,0.0001802,0.0001802,0.0001802
12,38.354,0.89026,2.32094,1.03573,0.00397,1,0.67225,0.52269,0.6236,2.44966,0.87535,0.000196042,0.000196042,0.000196042
13,41.0612,0.61873,2.1692,0.96776,0.00394,1,0.70297,0.51503,0.68222,2.44653,0.89643,0.000211488,0.000211488,0.000211488
14,43.522,0.78734,2.11722,1.01311,0.00396,1,0.72125,0.54211,0.70652,2.43883,0.90703,0.000226538,0.000226538,0.000226538
15,45.9741,0.6848,2.12298,0.99304,0.00407,1,0.72125,0.55137,0.72553,2.4341,0.91241,0.000241192,0.000241192,0.000241192
16,49.243,0.83886,2.15422,1.0491,0.00405,1,0.66317,0.4842,0.73033,2.43339,0.93021,0.00025545,0.00025545,0.00025545
17,52.1578,0.81706,1.99006,1.0515,0.00413,1,0.7272,0.53975,0.71962,2.41921,0.92887,0.000269312,0.000269312,0.000269312
18,54.1993,0.728,1.95638,0.99971,0.00413,1,0.7272,0.53975,0.71962,2.41921,0.92887,0.000282778,0.000282778,0.000282778
19,57.3862,0.84222,1.84699,0.97936,0.00415,1,0.72888,0.58318,0.62801,2.39273,0.90352,0.000295848,0.000295848,0.000295848
20,59.6808,0.78289,1.84311,0.99953,0.00415,1,0.72888,0.58318,0.62801,2.39273,0.90352,0.000308522,0.000308522,0.000308522
21,62.3603,0.75829,1.81929,1.00226,0.00406,1,0.83096,0.70681,0.55529,2.3683,0.8515,0.0003208,0.0003208,0.0003208
22,71.7128,0.72539,1.80933,0.9807,0.00406,1,0.83096,0.70681,0.55529,2.3683,0.8515,0.000332682,0.000332682,0.000332682
23,74.7034,0.85829,1.79695,1.02488,0.00402,1,0.93382,0.81773,0.51342,2.33327,0.8199,0.000344168,0.000344168,0.000344168
24,76.8376,0.96328,1.87111,1.063,0.00402,1,0.93382,0.81773,0.51342,2.33327,0.8199,0.000355258,0.000355258,0.000355258
25,80.0384,1.0106,1.78367,1.08102,0.00397,1,0.96833,0.83045,0.51329,2.29894,0.81167,0.000365952,0.000365952,0.000365952
26,84.2028,0.77395,1.68559,0.99866,0.00397,1,0.96833,0.83045,0.51329,2.29894,0.81167,0.00037625,0.00037625,0.00037625
27,87.7866,0.72555,1.63749,1.00949,0.004,1,0.96167,0.80391,0.50312,2.27253,0.81384,0.000386152,0.000386152,0.000386152
28,90.2967,0.82386,1.69144,1.08445,0.004,1,0.96167,0.80391,0.50312,2.27253,0.81384,0.000395658,0.000395658,0.000395658
29,93.5572,0.7204,1.48464,1.00181,0.0039,1,0.97192,0.81127,0.55532,2.21845,0.82358,0.000404768,0.000404768,0.000404768
30,97.5309,0.68324,1.45745,1.00421,0.0039,1,0.97192,0.81127,0.55532,2.21845,0.82358,0.000413482,0.000413482,0.000413482
31,101.326,0.72919,1.63085,1.02305,0.00382,1,0.97192,0.81933,0.56426,2.15743,0.83084,0.0004218,0.0004218,0.0004218
32,103.81,1.10721,1.57856,1.23013,0.00382,1,0.97192,0.81933,0.56426,2.15743,0.83084,0.000429722,0.000429722,0.000429722
33,107.22,0.66048,1.38251,0.96821,0.02771,1,0.97192,0.85283,0.56381,2.11606,0.84729,0.000437248,0.000437248,0.000437248
34,110.589,0.70049,1.35049,1.00636,0.02771,1,0.97192,0.85283,0.56381,2.11606,0.84729,0.000444378,0.000444378,0.000444378
35,112.833,0.76084,1.32794,1.02548,0.90593,0.9,0.97192,0.83075,0.64162,2.0761,0.88441,0.000451112,0.000451112,0.000451112
36,115.219,0.94205,1.30113,1.13996,0.90593,0.9,0.97192,0.83075,0.64162,2.0761,0.88441,0.00045745,0.00045745,0.00045745
37,117.619,0.9095,1.38637,1.05216,1,0.89656,0.97192,0.78829,0.73972,2.05939,0.94841,0.000463392,0.000463392,0.000463392
38,119.589,1.06539,1.37369,1.14655,1,0.89656,0.97192,0.78829,0.73972,2.05939,0.94841,0.000468938,0.000468938,0.000468938
39,122.02,0.9075,1.3328,1.09419,0.95305,0.9,0.96643,0.78507,0.75442,2.04156,0.98085,0.000474088,0.000474088,0.000474088
40,125.484,0.7845,1.17355,0.99817,0.95305,0.9,0.96643,0.78507,0.75442,2.04156,0.98085,0.000478842,0.000478842,0.000478842
41,127.735,0.74728,1.08451,0.99423,1,0.83448,0.95382,0.76962,0.75311,2.00501,0.98037,0.0004832,0.0004832,0.0004832
42,129.952,0.85131,1.03453,1.10143,1,0.83448,0.95382,0.76962,0.75311,2.00501,0.98037,0.000487162,0.000487162,0.000487162
43,132.09,1.01654,1.20198,1.12999,1,0.81977,0.96643,0.81326,0.69434,1.94063,0.91513,0.000490728,0.000490728,0.000490728
44,134.087,0.71195,1.01613,0.96907,1,0.81977,0.96643,0.81326,0.69434,1.94063,0.91513,0.000493898,0.000493898,0.000493898
45,136.311,0.93028,1.0332,1.1967,1,0.84288,0.995,0.84581,0.57954,1.82015,0.84197,0.000496672,0.000496672,0.000496672
46,138.268,0.77266,1.09856,1.03532,1,0.84288,0.995,0.84581,0.57954,1.82015,0.84197,0.00049905,0.00049905,0.00049905
47,140.665,0.70124,0.99583,1.04177,1,0.97023,0.995,0.89235,0.54966,1.69787,0.83548,0.000501032,0.000501032,0.000501032
48,142.719,0.84599,0.98362,1.05889,1,0.97023,0.995,0.89235,0.54966,1.69787,0.83548,0.000502618,0.000502618,0.000502618
49,145.138,0.83349,1.03079,1.11418,1,0.96769,0.995,0.85996,0.53196,1.57629,0.8396,0.000503808,0.000503808,0.000503808
50,147.315,0.88925,1.02842,1.10678,1,0.96769,0.995,0.85996,0.53196,1.57629,0.8396,0.000504602,0.000504602,0.000504602
51,149.364,0.84649,0.98908,1.04378,1,0.95533,0.995,0.84956,0.54676,1.42724,0.85987,0.000505,0.000505,0.000505
52,151.479,0.85583,1.04725,1.18186,1,0.95533,0.995,0.84956,0.54676,1.42724,0.85987,0.000505002,0.000505002,0.000505002
53,153.552,0.72765,0.91147,1.01328,1,0.95533,0.995,0.84956,0.54676,1.42724,0.85987,0.000504608,0.000504608,0.000504608
54,155.937,0.84783,0.94661,1.10025,1,0.9758,0.995,0.84656,0.56449,1.31294,0.88876,0.000503818,0.000503818,0.000503818
55,157.959,0.75002,0.89558,1.05837,1,0.9758,0.995,0.84656,0.56449,1.31294,0.88876,0.000502632,0.000502632,0.000502632
56,160.145,0.79869,0.96215,1.01058,1,0.9758,0.995,0.84656,0.56449,1.31294,0.88876,0.00050105,0.00050105,0.00050105
57,162.451,0.92993,0.8747,1.17804,1,0.97891,0.995,0.85354,0.62621,1.24446,0.93059,0.000499072,0.000499072,0.000499072
58,164.385,0.73488,0.91145,1.06583,1,0.97891,0.995,0.85354,0.62621,1.24446,0.93059,0.000496698,0.000496698,0.000496698
59,166.512,0.66771,0.792,0.97459,1,0.97891,0.995,0.85354,0.62621,1.24446,0.93059,0.000493928,0.000493928,0.000493928
60,168.58,0.71665,0.77442,1.01692,1,0.98284,0.995,0.82768,0.6305,1.19939,0.9517,0.000490762,0.000490762,0.000490762
61,170.764,0.70716,0.88915,1.03575,1,0.98284,0.995,0.82768,0.6305,1.19939,0.9517,0.0004872,0.0004872,0.0004872
62,173.044,0.64959,0.80458,1.03984,1,0.98284,0.995,0.82768,0.6305,1.19939,0.9517,0.000483242,0.000483242,0.000483242
63,175.164,0.84879,0.90663,1.13242,1,0.99214,0.995,0.85812,0.57326,1.16107,0.94174,0.000478888,0.000478888,0.000478888
64,177.415,0.72618,0.81322,0.98327,1,0.99214,0.995,0.85812,0.57326,1.16107,0.94174,0.000474138,0.000474138,0.000474138
65,179.399,0.70829,0.81343,1.03344,1,0.99214,0.995,0.85812,0.57326,1.16107,0.94174,0.000468992,0.000468992,0.000468992
66,181.733,0.81293,1.21077,1.13937,1,0.99175,0.995,0.87632,0.54873,1.12589,0.9253,0.00046345,0.00046345,0.00046345
67,183.812,0.67056,0.8143,0.97179,1,0.99175,0.995,0.87632,0.54873,1.12589,0.9253,0.000457512,0.000457512,0.000457512
68,185.987,0.63508,0.76772,0.97644,1,0.99175,0.995,0.87632,0.54873,1.12589,0.9253,0.000451178,0.000451178,0.000451178
69,188.419,0.58259,0.74264,0.97415,1,0.99328,0.995,0.88712,0.54568,1.06554,0.92409,0.000444448,0.000444448,0.000444448
70,190.398,0.68377,0.73725,1.00736,1,0.99328,0.995,0.88712,0.54568,1.06554,0.92409,0.000437322,0.000437322,0.000437322
71,192.639,0.81465,0.83548,1.04458,1,0.99328,0.995,0.88712,0.54568,1.06554,0.92409,0.0004298,0.0004298,0.0004298
72,194.706,0.80543,0.85889,1.0677,0.98767,1,0.995,0.88712,0.5469,1.04729,0.925,0.000421882,0.000421882,0.000421882
73,196.935,0.60768,0.73322,1.00618,0.98767,1,0.995,0.88712,0.5469,1.04729,0.925,0.000413568,0.000413568,0.000413568
